id,level,area,tags,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation_correct,source_url,review_note,mcq_only
OSS-021,Beginner,Research Software,software-citation; software-development; computational-reproducibility,What is the practical purpose of archiving a software release in Zenodo (linked from GitHub)?,To produce a formal ranking that compares different software projects,To keep a running numerical count of the repository's total stars,To automatically execute and run the archived software for the user,"To create a preserved, version-specific snapshot with a DOI","To convert the software into a closed, proprietary commercial product",d,"When you create a new release on GitHub, Zenodo automatically archives it and issues a DOI, producing a citable, preserved, version-pinned snapshot; unlike a GitHub link (which can change or vanish), this supports reproducibility and durable citation.",https://tu-delft-dcc.github.io/docs/software/releases_archiving/archiving.html,checked,
OSS-022,Beginner,Research Software,licensing; open-source-software,What is the difference between 'free/open-source' software and 'source-available' software?,"Open-source grants the OSD freedoms: use, study, modify, redistribute",The two terms are simply interchangeable ways of describing the same thing,Source-available software tends to offer users more freedoms than open source,Open-source software is typically released without its underlying code,Source-available licensing works the same way copyright-free work does,a,"You can read 'source-available' code, but its license may forbid certain uses (e.g., commercial use or redistribution), so it does not meet the Open Source Definition, unlike genuinely open-source software which guarantees those freedoms.",https://opensource.org/osd,checked,
OSS-023,Intermediate,Research Software,licensing; open-source-software,What key feature distinguishes the Apache License 2.0 from the MIT License?,"The two licenses are, in every practical respect, completely identical",Apache 2.0 forbids commercial use of the software,"MIT is a copyleft license, whereas Apache 2.0 is a permissive one","Apache 2.0 adds an explicit patent grant, which the shorter MIT license lacks",Apache 2.0 requires that any derivative works also be released as open source,d,"Both are permissive, but Apache-2.0 includes an express patent license from contributors (terminated if you sue over patents) and a requirement to note modifications, giving more explicit patent protection than the terse MIT license.",https://choosealicense.com/licenses/apache-2.0/,checked,
OSS-024,Intermediate,Research Software,licensing; open-source-software,What does the AGPL (GNU Affero GPL) add relative to the standard GPL?,It removes the copyleft obligations found in the standard GPL,It forbids the software from being used over a network ,It extends copyleft to cover software provided over a network,It converts the standard GPL into a fully permissive software license,It restricts the license so that it applies only to computing hardware,c,"The AGPL closes the 'ASP/SaaS loophole' in the GPL: if you run modified AGPL-licensed software as a network service, you must make the corresponding source available to users of that service, not just to those you distribute binaries to.",https://choosealicense.com/licenses/agpl-3.0/,checked,
OSS-025,Intermediate,Research Software,licensing; open-source-software,"Why can mixing code under incompatible licenses (e.g., combining certain copyleft and permissive-licensed code) create legal problems?",Because code released under different licenses cannot legally be combined ,"Because every existing software license is, in fact, always fully compatible",Because combining code under different licenses tends to slow down its execution,Because a strong copyleft license may require the whole combined work to follow its terms,Because combining licensed code in this way requires the project to obtain a DOI,d,"License compatibility matters: a strong copyleft license (like GPL) can 'reach' the combined work and impose its terms, which may clash with obligations of another license, so not all licensed code can be freely combined and redistributed together.",https://www.gnu.org/licenses/license-compatibility.en.html,checked,
OSS-026,Intermediate,Research Software,open-source-software; software-sustainability; peer-review,What is the role of rOpenSci's (and pyOpenSci's) software peer review?,It produces a formal ranking of research software based on citation counts,It handles the technical process of assigning DOIs to software packages,"Community-run, open peer review of research software packages",It functions primarily as a marketplace for selling research software,It functions primarily as a service for detecting plagiarism in code,c,"rOpenSci (for R) and [pyOpenSci](https://www.pyopensci.org/software-peer-review/index.html) (for Python) operate transparent, community peer-review processes for scientific software packages, evaluating aspects like functionality, documentation, testing, and maintainability, thereby improving and vouching for reusable research software.",https://ropensci.org/software-review/,checked,
OSS-027,Intermediate,Research Software,open-source-software; software-sustainability; peer-review,"How does JOSS's review differ from package-review programs like rOpenSci and pyOpenSci, while sharing their ethos?",JOSS relies mainly on the editor's judgment rather than any structured review,"JOSS reviews are conducted openly, but they generally prioritize closed-source code over open submissions",JOSS is a journal publishing a short citable paper after open GitHub-based review,JOSS is notable mainly for charging authors unusually high publication fees compared with other journals,"JOSS's review process, in practice, mostly sets the software aside and focuses on the accompanying prose",c,"JOSS shares the open, software-focused review ethos but is a diamond-OA journal producing a citable paper for accepted software, whereas rOpenSci/pyOpenSci focus on reviewing and endorsing packages",https://www.pyopensci.org/software-peer-review/partners/joss.html,checked,
OSS-028,Intermediate,Research Software,software-development; computational-reproducibility; preservation,Why is pinning dependency versions important when distributing research software for reuse?,Pinning exact dependency versions is mainly a way to shorten the codebase,Pinning exact dependency versions helps produce a formal ranking of the software,Pinning exact dependency versions is a formal requirement for assigning a license,Pinning exact dependency versions matters because software behavior can change across versions,Pinning exact dependency versions works by encrypting the listed dependencies,d,"Unpinned dependencies may resolve to newer, behavior-changing versions, breaking reproducibility; pinning (or otherwise recording exact versions, e.g., in a lockfile or environment file) lets others recreate a working, result-consistent environment.",https://book.the-turing-way.org/reproducible-research/renv/renv-options,checked,
OSS-029,Intermediate,Research Software,licensing; open-source-software; software-development,What is a Contributor License Agreement (CLA) and why do some projects use one?,It is simply a standard license agreement intended for the software's end users,An agreement where contributors grant the project rights to their contributions,It functions as a formal ranking system that orders a project's contributors,It is essentially a machine-readable file used for citing the software,It is essentially a formal code of conduct governing contributor behavior,b,"A CLA sets out the IP terms under which contributions are made - often granting the maintaining entity a license (or copyright assignment) to the contributed code - which can be important for legal clarity, relicensing, or defending the project.",https://opensource.guide/legal/,checked,
OSS-030,Intermediate,Research Software,licensing; open-source-software; software-development,"What does an SPDX license identifier (e.g., 'MIT', 'Apache-2.0', 'GPL-3.0-or-later') provide?",A unique DOI assigned specifically to that particular software license,A running counter that tracks how many times the software has been downloaded,A simple version number indicating the software's current release,"A standardized, machine-readable short code for a specific license",A star rating reflecting how popular the software has become,d,"SPDX identifiers are standardized short strings that unambiguously denote particular licenses, enabling automated license detection, compliance checking, and clear metadata in repositories and package manifests.",https://spdx.org/licenses/,checked,
OSS-031,Intermediate,Research Software,software-citation; open-source-software; software-development,"Why do funders and journals increasingly ask that research software be openly licensed and deposited, not just 'available on request'?",Doing so is believed to directly increase the overall sales of the software,Doing so is thought to make the software harder for others to properly cite,Doing so is mainly a way to produce a formal ranking of the software,Doing so is intended mainly to keep the study's underlying methods obscure,Because open licensing and deposit make the software reproducible and citable,e,"Open licensing plus archiving ensures the exact software can be found, legally reused, cited, and preserved long-term, supporting reproducibility",https://zenodo.org/record/1327310,checked,
OSS-032,Beginner,Research Software,open-source-software; software-sustainability,What does the Software Sustainability Institute (SSI) promote?,"The direct sale of proprietary, closed-source commercial software",The centralized hosting of literally all existing research code,An annual ranking that compares different programming languages,The technical process of assigning DOIs to software packages,Better research software practice and sustainability,e,"The SSI works to improve the quality, sustainability, and recognition of research software via training, community building, policy advocacy, and its fellowship programme, encapsulated by 'better software, better research'.",https://www.software.ac.uk/about,checked,
OSS-033,Intermediate,Research Software,licensing; open-source-software,"What is the difference between 'open source' and 'public domain' (e.g., via the Unlicense or CC0) for software?",The two concepts serve the same legal function and can be used interchangeably,Public-domain dedication is understood to impose considerably more conditions than open source,Public-domain dedication is understood to require the same attribution conditions as open source,Open-source licensing works specifically by waiving the software's copyright entirely,Open-source code is copyrighted and licensed under terms (which may require attribution or copyleft),e,"Open-source licenses operate through copyright, attaching conditions (at minimum attribution, sometimes copyleft)",https://opensource.org/faq#public-domain,checked,
OSS-034,Expert,Research Software,licensing; open-source-software,Why is the 'viral' or reciprocal nature of strong copyleft (GPL) a deliberate design choice rather than a flaw?,"It guarantees the software and its descendants remain free, preventing enclosure",This design choice mainly discourages any commercial use of the software,"This behavior is, in fact, simply an accidental bug in how the license was written",This design choice has the effect of placing the code into the public domain,This particular design choice only ever affects a project's accompanying documentation,a,"Strong copyleft's reciprocity is purposeful: by using copyright to require downstream distributed derivatives to remain open, the GPL ensures the freedoms it grants cannot be stripped away by others, protecting user freedom across the software's lineage.",https://www.gnu.org/licenses/copyleft.en.html,checked,
OSS-035,Intermediate,Research Software,software-citation; open-source-software; software-sustainability,How does treating research software as a 'first-class research output' change practices around credit and assessment?,"It mainly affects how software is licensed, not how it's cited",It mainly encourages replacing traditional papers with software repositories,"It mainly applies to software used internally, not software that's shared publicly","It supports citing software with persistent identifiers, valuing it beyond just papers",Recognizing software in this way is understood to matter only for physical hardware,d,"Recognizing software as a legitimate scholarly output means it should be cited (via DOIs/CITATION.cff), credited to its creators, and valued in evaluation, acknowledging the RSE labor of building and sustaining software, aligning with responsible-assessment reforms.",https://force11.org/info/software-citation-principles-published-2016/,checked,
OSS-036,Expert,Research Software,software-citation; software-development; computational-reproducibility,"Why is preserving source code (e.g., in Software Heritage with intrinsic identifiers/SWHIDs) important beyond archiving a release DOI in Zenodo?",The main benefit of this kind of large-scale preservation is that it helps sell the underlying code commercially,Preserving source code in this particular distributed way is not actually considered an important priority,The main purpose of this kind of large-scale preservation is to produce a formal ranking of research software,Software Heritage archives code with intrinsic identifiers referencing exact artifacts,This kind of source-code preservation is intended mainly to replace the ongoing need for version control,d,"SWHIDs are intrinsic, content-based identifiers that point to precise code objects regardless of hosting platform, giving durable, verifiable references and large-scale preservation; this complements Zenodo release DOIs, which cite curated releases with descriptive metadata.",https://www.softwareheritage.org/2020/07/09/intrinsic-vs-extrinsic-identifiers/,checked,
OSS-037,Expert,Research Software,open-source-software; software-development; software-sustainability,"What sustainability problem is common to widely used research software, and what approaches address it?",This problem is best addressed mainly by restricting access to the software's source code,Software that is widely used in research generally gets easier to maintain over time,This is primarily a technical problem that is solvable through writing better code alone,This problem is best addressed by having the original developer maintain it indefinitely alone,"Critical software is often maintained by a few (or one) unfunded people, risking abandonment",e,"Much research depends on software sustained by tiny, precariously funded teams, creating 'bus factor' and abandonment risks",https://www.software.ac.uk/programmes/research-software-maintenance-fund,checked,
OSS-038,Expert,Research Software,open-source-software; software-sustainability; peer-review,"How does open peer review of software (JOSS, rOpenSci) address a gap left by traditional journal review?",Traditional article review rarely installs and runs the underlying code,Open peer review of software works mainly by evaluating only the manuscript's abstract,Traditional journal peer review already routinely installs and runs the submitted software,Open review of this kind is understood to mainly evaluate the writing style of a project's documentation,"This particular form of software review is typically conducted through private, invitation-only channels",a,"Conventional peer review seldom executes or scrutinizes the software behind a paper; open, software-specific review programs test installation, functionality, documentation, and reusability, verifying the software artifact itself rather than only its textual description.",https://joss.theoj.org/about,checked,
OSS-039,Expert,Research Software,licensing; open-source-software,Why might choosing a permissive vs a copyleft license reflect different goals for a research software project?,Permissive licenses maximize adoption and integration (including into proprietary tools),"The choice between the two mainly affects how the license text is worded, not how the software can be used",The choice between a permissive and a copyleft license is mostly a matter of personal writing style,"Permissive licenses, unlike copyleft ones, are understood to require that derivatives stay open",Copyleft licenses are understood to explicitly forbid any academic or research use,a,"A permissive license (MIT/Apache) invites the widest possible reuse, even in closed products, favoring adoption; a copyleft license (GPL) ensures derivatives stay open, favoring sustained openness - so the decision encodes the project's priorities about reach versus reciprocity.",https://choosealicense.com/,checked,
OSS-040,Expert,Research Software,software-citation; persistent-identifiers; responsible-assessment,Why is citing only the paper associated with a piece of software (rather than the software itself) an insufficient scholarly practice?,"The paper describes the software at a point in time, but the exact version used may differ or become unclear",This practice is understood to be a more legally rigorous form of citation than citing the software directly,"This practice is preferred because papers, unlike software, are always assigned a DOI",This practice is discouraged mainly because it takes up more space in the reference list,This practice is understood to be functionally identical to citing the software directly,a,"Software keeps changing after a paper is published, so citing only the paper leaves readers unable to determine which exact version was used",https://www.software.ac.uk/publication/how-cite-and-describe-software,checked,
OSS-041,Expert,Research Software,software-citation; software-sustainability; persistent-identifiers,"Why is software citation still an unevenly adopted practice despite the FORCE11 Software Citation Principles, and what does full adoption require?",This unevenness is generally attributed to citation being fully and universally adopted already,This unevenness is generally attributed to the belief that research software simply has no identifiable individual authors,This unevenness is generally attributed to the mistaken and widespread belief that citing software is technically illegal,"This unevenness is generally attributed to citation norms, indexing, and credit systems that historically centered on articles",This unevenness is generally attributed to existing citation-metric systems already counting software the same as papers,d,"Although the principles articulate that software should be cited, realizing this needs coordinated infrastructure and cultural change, metadata standards, archived identifiers, reference styles, indexing of software citations, and recognition in evaluation, so uneven adoption reflects an incomplete ecosystem rather than mere reluctance.",https://arxiv.org/pdf/1601.04734,checked,
OSS-042,Expert,Research Software,software-sustainability; responsible-assessment; authorship-credit,How does the professionalization of Research Software Engineering (RSE) intersect with research assessment reform?,The professionalization of this role is understood to have no real connection to assessment reform,Recognizing RSEs requires valuing software work as legitimate scholarly contribution,"This professionalization movement is intended, in effect, to fully replace researchers with engineers",This intersection is understood to require ranking software by citation counts more heavily than before,This professionalization movement is understood to concern only researchers' salary levels,b,"The RSE movement and assessment reform reinforce each other: sustaining research software depends on careers and evaluation that credit software work, which requires the broader, contribution-diverse recognition that DORA and CoARA advocate rather than paper- and grant-centric metrics.",https://www.coara.org/agreement/the-commitments/,checked,
OSS-043,Expert,Research Software,open-source-software; software-development; software-sustainability,"Why can 'open source' and 'open to contribution/governance' be distinct, and why does the distinction matter for sustainability?",The two concepts are generally understood to be interchangeable ways of describing the same licensing terms,Being licensed as open source is understood to automatically and reliably guarantee full community control over decisions,Neither concept is understood to meaningfully affect who controls a project's roadmap or direction,Adopting an open governance model is understood to explicitly and formally forbid any kind of software licensing,Software can be open source (licensed for reuse) yet developed behind closed doors by a single entity with no community governance,e,"An open license permits reuse but says nothing about who steers development; a project controlled by one actor can still be abandoned or redirected, whereas open, community-based development and governance (and the ability to fork) provide resilience - echoing POSI-style concerns for infrastructure.",https://openscholarlyinfrastructure.org/,checked,
OSS-044,Expert,Research Software,software-citation; software-development; software-sustainability,"How does long-term executability of research software pose a challenge distinct from preserving its source code, and how is it approached?","Even preserved source may no longer build or run as compilers, dependencies, and operating systems change",Preserving a piece of software's source code means it no longer needs active maintenance,Preserving source code is what actually keeps the software running over time,The concept of long-term executability is considered to be entirely unrelated to preservation efforts generally,This kind of problem is best addressed by simply archiving more copies of the source code,a,"Archiving source is necessary but not sufficient for reproducibility: software can become unbuildable or unrunnable as its ecosystem evolves ('software collapse'), so strategies like containers, emulation, and environment capture help preserve executability, yet none fully solves indefinite runnability.",https://www.softwareheritage.org/2025/12/18/software-rot-saving-sciences-digital-legacy/,checked,
OSS-045,Intermediate,Research Software,licensing; open-source-software,"Why does Creative Commons recommend against using its licenses (e.g., CC BY) for software?",CC licenses lack source-code distribution terms and are incompatible with major software licenses,Creative Commons licenses are legally invalid and cannot be enforced in court,"CC licenses automatically expire after a fixed number of years, unlike software licenses","Software cannot be copyrighted, so no license of any kind can apply to it",CC licenses require the software's source code to remain permanently secret,a,"Creative Commons recommends against using its licenses for software because, unlike dedicated software licenses (e.g., MIT, GPL), CC licenses don't address source-code distribution or patent rights, and are largely incompatible with major software licenses, making it hard to integrate CC-licensed code with other open-source projects.",https://creativecommons.org/faq/#can-i-apply-a-creative-commons-license-to-software,checked,
OSS-046,Intermediate,Research Software,licensing; open-source-software,What is the practical difference between a permissive (MIT) and a copyleft (GPL) license for someone reusing the code in a commercial product?,The MIT license explicitly forbids commercial use of the licensed software,"There is, in fact, no meaningful practical difference between the two license types",MIT allows incorporation into closed/commercial software with minimal conditions,The GPL license permits a company to freely close off the source code afterward,Both of these particular license types strictly prevent commercial use,c,"With MIT, a company can reuse the code in a proprietary product by preserving the notice; with GPL, redistributing a derivative obligates them to license it under GPL-compatible open terms, which can be incompatible with keeping it closed.",https://choosealicense.com/licenses/mit/,checked,
OSS-047,Beginner,Research Software,software-development,"In Git, what is a 'branch' used for?",It permanently deletes the project's earlier commit history,It automatically publishes the project to a public package registry,It creates a separate line of work so changes don't affect the main version,It converts the entire repository into a compressed backup file,It assigns a formal citation and DOI to the current project version,c,A branch lets you develop or test changes in parallel without touching the main branch,https://book.the-turing-way.org/reproducible-research/vcs/vcs-git-branches/,checked,
OSS-048,Intermediate,Research Software,software-citation; software-development; computational-reproducibility,"Why is archiving a tagged software release (e.g., in Zenodo) important for citing the software used in a study?",Because archiving the release is what actually runs the underlying analysis,Because archiving the release helps produce a formal ranking of the software,Because archiving the release removes the need to attach any kind of license,Because archiving the release has the effect of making the code fully proprietary,"Because it creates a preserved, version-specific snapshot with a DOI",e,"A Zenodo archive of a specific release yields a citable, preserved, version-pinned record with a DOI; a bare repository link is mutable and may change or vanish, undermining reproducibility and precise citation.",https://tu-delft-dcc.github.io/docs/software/releases_archiving/archiving.html,checked,
OSS-049,Expert,Research Software,software-citation; persistent-identifiers; authorship-credit,Why has citing a related paper (a 'proxy citation') historically been an unsatisfactory way to cite research software?,A proxy citation is generally believed to be an unethical or dishonest citation practice,"A proxy citation, unlike direct citation, always requires a separate paid license","It denies software its own standing as a research output, obscuring the specific version actually used",A proxy citation is a term that refers exclusively to citing unpublished preprints,A proxy citation is understood to make software impossible to archive in any repository,c,"Before dedicated citation formats existed, researchers cited a user manual, a related article, or a bare URL as a stand-in for the software itself",https://www.softwareheritage.org/2020/05/26/citing-software-with-style/,checked,
PID-001,Beginner,Persistent Identifiers & Metadata,persistent-identifiers,What does the acronym DOI stand for?,Data Object Interface,Digital Object Identifier,Document Origin Indicator,Directory Of Information,Digital Ownership Index,b,"A DOI is a Digital Object Identifier: a persistent identifier standardised as ISO 26324, used to identify digital, physical, or abstract objects such as journal articles and datasets.",https://www.doi.org/the-identifier/what-is-a-doi/,checked,
PID-002,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; authorship-credit,What does ORCID stand for?,Official Registry of Contributor IDs,Open Researcher and Contributor ID,Open Registry of Cited Institutional Data,Organisational Research Contribution Index,Online Research Citation Identification,b,"ORCID stands for Open Researcher and Contributor ID; it provides a free, unique, persistent identifier that distinguishes one researcher from another.",https://info.orcid.org/what-is-orcid/,checked,
PID-003,Beginner,Persistent Identifiers & Metadata,persistent-identifiers,What kind of entity does a ROR identifier identify?,Datasets,Research organizations,Funding grants,Individual researchers,Journal articles,b,"ROR (Research Organization Registry) provides open persistent identifiers for research organizations, helping disambiguate institution names in scholarly metadata.",https://ror.org/about/,checked,
PID-004,Beginner,Persistent Identifiers & Metadata,persistent-identifiers,Which of these is an example of a correctly formed DOI?,10.1000/182,ORCID:0000-0002-1825-0097,https://ror.org/02mhbdp94,ISBN 978-3-16-148410-0,doi://article/12345,a,"A DOI has a prefix beginning with '10.' and a suffix separated by a forward slash, e.g. 10.1000/182; it is made actionable as https://doi.org/10.1000/182",https://www.doi.org/the-identifier/what-is-a-doi/,checked,yes
PID-005,Intermediate,Persistent Identifiers & Metadata,persistent-identifiers,What does the doi.org resolver actually do when you click a DOI link?,It assigns a brand-new DOI to the object every time the link is clicked,It verifies the identity of the author before allowing the article to load,It calculates and updates the article's live citation count on each visit,"It stores a permanent, cached copy of the article on the doi.org server",It redirects the request to the resource's current web location,e,"The doi.org proxy uses Handle System technology to resolve the DOI and redirect the user to the current URL registered for that object, so links keep working when the underlying URL changes.",https://www.doi.org/the-identifier/what-is-a-doi/,checked,
PID-006,Intermediate,Persistent Identifiers & Metadata,persistent-identifiers; metadata; authorship-credit,"When a researcher connects their authenticated ORCID iD to a publisher's manuscript submission system, what typically happens as a result?","The publisher gains permanent, unrestricted access to every part of the researcher's ORCID record, with no way to revoke it","The submission system can pull data from the ORCID record to help populate the submission, and later push the published work back to the record",The researcher's ORCID iD is automatically replaced with a new one generated by the publisher for internal tracking,The manuscript is automatically peer-reviewed by other researchers who share the same ORCID iD prefix,The researcher must re-verify their identity with ORCID separately for every future submission to any journal,b,"Once permission is granted, the publisher can use the ORCID API to pull data (such as affiliations or prior works) to help populate the submission form, and on acceptance can push the published work back into the researcher's ORCID record and the article's metadata — creating a two-way, permissioned data flow rather than a one-time lookup.",https://info.orcid.org/documentation/workflows/integrating-orcid-into-your-journal-workflow/,checked,
PID-007,Intermediate,Persistent Identifiers & Metadata,persistent-identifiers; metadata,Which three organizations jointly operate the Research Organization Registry (ROR)?,"ORCID, ISNI, and GRID, three long-standing identifier registries","UNESCO, OECD, and the EU, three major international bodies","Crossref, DataCite, and the California Digital Library","Clarivate, Elsevier, and Springer Nature, three commercial publishers","arXiv, bioRxiv, and Zenodo, three well-known preprint and data repositories",c,"ROR is run as a collaborative initiative by the California Digital Library, Crossref, and DataCite, and its data is openly available under CC0.",https://ror.org/about/,checked,
PID-008,Expert,Persistent Identifiers & Metadata,persistent-identifiers,What is the technical relationship between the DOI system and the Handle System?,Handles can only be created by DOI registration agencies,DOIs replaced the Handle System entirely once the DOI standard was adopted,The DOI system uses Handle System technology for the resolution step,The Handle System is a commercial product owned by Crossref,They are completely unrelated identifier schemes with no shared infrastructure,c,"The DOI system relies on Handle System technology (from CNRI, administered via the DONA Foundation) for resolution; a DOI is effectively a Handle in the '10.' namespace with an added metadata and social layer.",https://www.doi.org/the-identifier/what-is-a-doi/,checked,
PID-009,Expert,Persistent Identifiers & Metadata,persistent-identifiers; metadata,What distinguishes ROR from earlier organization identifiers like GRID or ISNI in the scholarly context?,ROR only covers research organizations located within the United States,ROR is maintained and controlled by a commercial vendor,ROR is the only registry among the three that charges a subscription fee,ROR identifies individual researchers rather than organizations,ROR data is open under CC0 and focused on research affiliations,e,"ROR positions itself as the first openly available (CC0, open API and data dump) organization identifier focused specifically on affiliations in scholarly metadata, embedded as a default in Crossref, DataCite, and ORCID metadata.",https://ror.org/about/,checked,
PID-010,Expert,Persistent Identifiers & Metadata,persistent-identifiers; preservation,How does a PURL (Persistent Uniform Resource Locator) differ fundamentally from a DOI?,A PURL guarantees that its target content will never change or move,A PURL can only ever be used to point to research datasets,A PURL is essentially an HTTP redirection service with no metadata layer,A PURL is resolved through the same Handle System infrastructure as a DOI,PURLs can only be issued and registered exclusively by Crossref,c,"A PURL is a curated HTTP URL that redirects to a target (originally an OCLC service, as of 2016 transfer, is now run by the Internet Archive); unlike a DOI it does not use the Handle System and has no registration-agency metadata or governance layer.",https://en.wikipedia.org/wiki/Persistent_uniform_resource_locator,checked,
PID-011,Expert,Persistent Identifiers & Metadata,persistent-identifiers; metadata,"Following the 2021-2022 partnership with DataCite, how are IGSN IDs (for physical samples) now implemented technically?",As ARKs minted specifically by the California Digital Library,"As functionally DataCite DOIs, with metadata structured to the DataCite schema",As a wholly separate identifier system with its own independent resolver,As ORCID iDs that have been extended to cover physical objects,As Handle records that sit outside the DOI namespace entirely,b,"Since the IGSN e.V.-DataCite partnership, IGSN IDs for material samples are functionally DataCite DOIs whose metadata follows the DataCite Metadata Schema, giving samples the same infrastructure as other DataCite-registered objects.",https://datacite.org/blog/igsn-and-datacite-partnership/,checked,
PID-012,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; preservation,Why do scholarly systems use persistent identifiers instead of relying on ordinary web addresses (URLs)?,"URLs load more slowly across the internet than persistent identifiers do, especially on slow connections","Ordinary URLs often break when websites are reorganized, but persistent identifiers do not",URLs are technically incapable of ever pointing to PDF files or other document formats online,Copyright law legally requires that persistent identifiers be used for all formally published academic work,A URL can only ever be opened and used by one single reader at any given moment in time,b,"Web addresses change when sites are redesigned or content moves ('link rot'). A persistent identifier is a stable name whose registered target URL can be updated behind the scenes, so citations and links keep working.",https://www.doi.org/the-identifier/what-is-a-doi/,checked,
PID-013,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; metadata,What kinds of things are RRIDs (Research Resource Identifiers) used to identify?,"Key resources in biomedical literature (e.g. tools, databases)",Research funding agencies,Peer-reviewed journals,Research organizations and institutions,Individual journal articles,a,"RRIDs uniquely identify key research resources cited in the biomedical literature, such as antibodies, model organisms, and software tools, so studies can be reproduced and resources tracked across the literature.",https://www.rrids.org/,checked,
PID-014,Beginner,Persistent Identifiers & Metadata,persistent-identifiers,How does an individual researcher typically get a DOI assigned to one of their outputs?,By sending an email directly to the DOI Foundation and requesting one be issued,By depositing the output with a service that is a member of a DOI registration agency,By signing up for and paying an annual personal DOI subscription fee to Crossref,By registering the DOI themselves directly within the underlying Handle System,By simply filling in and submitting a free registration form directly on doi.org,b,"Individuals do not register DOIs directly. DOIs are registered by members of registration agencies - for example, depositing a dataset in Zenodo gets it a DataCite DOI, and publishing with a Crossref member journal gets the article a Crossref DOI.",https://www.doi.org/the-community/existing-registration-agencies/,checked,
PID-015,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; authorship-credit,What does an ORCID iD look like?,"A username the researcher freely chooses for themselves, similar to @jsmith on social media","A 16-character displayed in four groups of four, expressed as a URL",An email address that is automatically generated and always ends in @orcid.org,A barcode image that is printed on the researcher's institutional ID card,A fixed 10-character alphanumeric code that always begins with the letters 'OR',b,"An ORCID iD is a 16-character identifier displayed in four groups of four digits (the last character may be an X), expressed as a URL, e.g. https://orcid.org/0000-0002-1825-0097.",https://support.orcid.org/hc/en-us/articles/360006897674,checked,
PID-016,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; authorship-credit,What does it cost an individual researcher to register and use an ORCID iD?,A one-time registration fee charged when the account is first created,An annual subscription fee billed directly to the researcher,A small fee charged per publication linked to the ORCID record,It is free only for researchers based in low-income countries,Nothing - registration and use are free for individuals,e,"ORCID iDs are free for individual researchers to register and use. ORCID is sustained by fees from member organizations (universities, publishers, funders) that integrate with the registry.",https://info.orcid.org/what-is-orcid/,checked,
PID-017,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; preservation,"Conceptually, what is the key difference between a DOI and a URL?",There is no real difference; the two terms are simply used interchangeably,A DOI only works when accessed from within a university library,A URL is inherently more permanent and stable over time than a DOI,A DOI contains the full text of the article embedded inside it,"A DOI is a persistent name for the object itself, unlike a URL",e,"A DOI identifies the object (an article, dataset, etc.) independently of where it is hosted; resolution maps that name to the current location. A URL identifies a location, which can change or disappear.",https://www.doi.org/the-identifier/what-is-a-doi/,checked,
PID-018,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; metadata,What does an ISSN identify?,An individual edition of a specific printed book,A single article published within a journal,An individual human researcher working in a field,A serial publication such as a journal or magazine,A single research dataset deposited in a repository,d,"The ISSN (International Standard Serial Number) identifies serial publications - journals, magazines, newspapers - as ongoing titles; print and electronic versions of the same journal get separate ISSNs.",https://www.issn.org/understanding-the-issn/what-is-an-issn/,checked,
PID-019,Beginner,Persistent Identifiers & Metadata,persistent-identifiers,"When you deposit a dataset in the Zenodo repository, which persistent identifier is automatically created for it?","An ISSN, since Zenodo primarily indexes serial publications",A DOI (registered through DataCite),An ORCID iD identifying whoever made the deposit,An RRID for the specific resource that was deposited,"An ISBN, since Zenodo treats deposits like books",b,"Zenodo automatically registers a DataCite DOI for every deposit, making the dataset citable and persistently findable.",https://help.zenodo.org/docs/deposit/about-records/,checked,
PID-020,Beginner,Persistent Identifiers & Metadata,persistent-identifiers; metadata; authorship-credit,Who decides what information on an ORCID record is publicly visible?,The researcher's current academic employer or institution,The researcher's national government or funding ministry,The publisher of the researcher's most recent article,ORCID staff members who review each record individually,The researcher who owns the record,e,"ORCID records are controlled by the individual researcher, who can set each item's visibility to 'everyone', 'trusted parties', or 'only me'.",https://support.orcid.org/hc/en-us/articles/360006897614,checked,
PID-021,Beginner,Persistent Identifiers & Metadata,persistent-identifiers,Which statement about what DOIs can be assigned to is accurate?,DOIs are reserved for peer-reviewed journal articles only,DOIs can only ever be assigned to purely digital-born content,DOIs are only available for outputs published less than ten years ago,DOIs are assigned only to works written in the English language,"DOIs are assigned to many output types, not just journal articles",e,"The DOI system identifies objects of any type - journal articles, books and chapters, datasets, software releases, preprints, reports, and even physical or abstract objects.",https://www.doi.org/the-identifier/what-is-a-doi/,checked,
PID-022,Beginner,Persistent Identifiers & Metadata,persistent-identifiers,"In the DOI '10.5281/zenodo.123456', what does the '10.5281' part represent?",The exact year in which the DOI was first registered,The total number of times the object has been cited elsewhere,The prefix identifying the registrant,A checksum digit used purely for error detection purposes,The object's total file size measured in megabytes,c,"Every DOI has a prefix (starting '10.') that is assigned to a registrant by a registration agency, and a suffix chosen by the registrant; 10.5281 is the prefix used by Zenodo.",https://en.wikipedia.org/wiki/Digital_object_identifier,checked,
